Current time: 12:43:35.420678300
Time log: 13:02:41.710342300
Time log: 13:02:52.002323900
Time log: 13:02:57.537336
Time log: 13:03:03.285585100
Time log: 13:03:07.225073500
Time log: 13:03:08.824279300
Time log: 13:03:10.365588600
Time log: 13:03:12.025855500
Time log: 13:03:13.346333500
Time log: 13:03:14.814950700
Time log: 13:03:16.277654900
Time log: 13:03:17.770861500
Time log: 13:03:17.778854700
Time log: 13:03:19.285917100
Time log: 13:03:20.684548800
Time log: 13:03:22.087174600
Time log: 13:14:25.510702600
Time log: 13:14:34.268732300
